product_category_name,total_orders,total_gmv,avg_order_value,on_time_delivery_rate_pct,avg_review_score
agro_industria_e_comercio,182,78374.07,430.626758241758,94.9152542372881,4.02197802197802
alimentos,450,36664.4399999999,81.4765333333332,90.0226757369615,4.27640449438202
alimentos_bebidas,227,19687.47,86.7289427312776,93.6651583710407,4.38274336283186
artes,202,28247.81,139.840643564356,92.3076923076923,4.025
artes_e_artesanato,23,2184.14,94.9626086956522,91.304347826087,4.17391304347826
artigos_de_festas,39,5313.15,136.234615384615,97.3684210526316,4.0
artigos_de_natal,128,12030.12,93.9853125000001,90.4,4.05555555555556
audio,350,56398.94,161.139828571429,87.0689655172414,3.8342939481268
automotivo,3897,685384.319999999,175.874857582756,91.3648293963255,4.09014702089244
bebes,2885,480117.999999999,166.418717504332,90.815236739053,4.03862285914016
bebidas,297,28169.95,94.8483164983165,93.3797909407666,4.16216216216216
beleza_saude,8836,1441248.07000001,163.110917836126,91.0373539956054,4.18120320754
brinquedos,3886,561372.55,144.460254760679,92.4553101997897,4.18933298728264
cama_mesa_banho,9417,1241681.72,131.855338218116,91.2532355478861,3.97073982604961
casa_conforto,397,67073.27,168.950302267002,89.5408163265306,3.86329113924051
casa_conforto_2,24,1170.58,48.7741666666667,83.3333333333333,3.82608695652174
casa_construcao,490,96920.3599999999,197.796653061224,91.9254658385093,3.96714579055441
cds_dvds_musicais,12,954.99,79.5825,100.0,4.66666666666667
cine_foto,65,8189.66,125.994769230769,92.0634920634921,4.23076923076923
climatizacao,253,61774.19,244.16675889328,95.9349593495935,4.0281124497992
consoles_games,1062,177293.24,166.942787193974,91.8467583497053,4.06511406844107
construcao_ferramentas_construcao,748,165328.0,221.026737967914,90.8967391304348,4.0814266487214
construcao_ferramentas_ferramentas,97,17934.17,184.888350515464,93.8144329896907,4.42553191489362
construcao_ferramentas_iluminacao,244,48663.8,199.441803278689,90.9090909090909,4.12448132780083
construcao_ferramentas_jardim,194,31027.29,159.934484536082,93.1578947368421,4.19072164948454
