order_month,valid_order_count,valid_order_count_delta,total_gmv,total_gmv_delta,avg_order_value,avg_order_value_delta,order_completion_rate_pct,completion_rate_delta,on_time_delivery_rate_pct,on_time_rate_delta,avg_review_score,review_score_delta
2016-09,3,,354.75,,118.25,,33.33,,0.0,,1.0,
2016-10,308,305,56808.84,56454.09,184.444285714286,66.1942857142856,86.04,52.71,98.87,98.87,3.69,2.69
2016-12,1,-307,19.62,-56789.22,19.62,-164.824285714286,100.0,13.96,100.0,1.13,5.0,1.31
2017-01,789,788,137188.49,137168.87,173.876413181242,154.256413181242,95.06,-4.94,96.93,-3.06999999999999,4.09,-0.91
2017-02,1733,944,286280.619999999,149092.13,165.193664166186,-8.68274901505643,95.38,0.319999999999993,96.79,-0.140000000000001,4.08,-0.00999999999999979
2017-03,2641,908,432048.59,145767.97,163.592801968951,-1.60086219723439,96.4,1.02000000000001,94.42,-2.37,4.11,0.0300000000000002
2017-04,2391,-250,412422.24,-19626.3499999995,172.489435382685,8.89663341373415,96.32,-0.0800000000000125,92.14,-2.28,4.05,-0.0600000000000005
2017-05,3660,1269,586190.950000002,173768.710000002,160.161461748634,-12.3279736340508,96.89,0.570000000000007,96.36,4.22,4.17,0.12
2017-06,3217,-443,502963.040000004,-83227.9099999982,156.345365247126,-3.81609650150861,97.45,0.560000000000002,96.14,-0.219999999999999,4.17,0.0
2017-07,3969,752,584971.620000004,82008.5800000004,147.385139833712,-8.96022541341353,97.56,0.109999999999999,96.57,0.429999999999993,4.21,0.04
2017-08,4293,324,668204.600000002,83232.9799999981,155.649802003262,8.26466216954935,97.67,0.109999999999999,96.68,0.110000000000014,4.25,0.04
2017-09,4243,-50,720398.91,52194.3099999976,169.785272213057,14.1354702097951,97.81,0.140000000000001,94.8,-1.88000000000001,4.21,-0.04
2017-10,4568,325,769312.37,48913.46,168.413390980736,-1.37188123232124,98.03,0.219999999999999,94.71,-0.0900000000000034,4.16,-0.0499999999999998
2017-11,7451,2883,1179143.77,409831.400000004,158.253089518186,-10.1603014625496,97.83,-0.200000000000003,85.68,-9.02999999999999,3.94,-0.22
2017-12,5624,-1827,863547.230000002,-315596.540000001,153.546804765292,-4.70628475289396,98.03,0.200000000000003,91.62,5.94,4.04,0.1
2018-01,7220,1596,1107301.89,243754.66,153.365912742383,-0.180892022909404,97.91,-0.120000000000005,93.44,1.81999999999999,4.06,0.0199999999999996
2018-02,6694,-526,986908.960000005,-120392.929999998,147.431873319391,-5.93403942299142,97.92,0.0100000000000051,84.01,-9.42999999999999,3.84,-0.22
2018-03,7188,494,1155126.81999999,168217.85999999,160.702117417918,13.2702440985268,97.43,-0.489999999999995,78.64,-5.37,3.76,-0.0800000000000001
2018-04,6934,-254,1159698.04,4571.2200000016,167.248058840496,6.54594142257758,98.04,0.609999999999999,94.69,16.05,4.16,0.4
2018-05,6853,-81,1149781.82,-9916.21999999881,167.777881219903,0.529822379407733,98.48,0.439999999999998,91.76,-2.92999999999999,4.2,0.04
2018-06,6160,-693,1022677.11,-127104.710000001,166.019011363636,-1.75886985626758,99.01,0.530000000000001,98.59,6.83,4.28,0.0800000000000001
2018-07,6273,113,1058728.03,36050.9200000039,168.775391359796,2.75637999616021,98.18,-0.829999999999998,95.47,-3.12,4.27,-0.0100000000000007
2018-08,6452,179,1003308.46999999,-55419.5600000054,155.503482641041,-13.2719087187552,98.43,0.25,89.61,-5.86,4.28,0.0100000000000007
2018-09,1,-6451,166.46,-1003142.00999999,166.46,10.9565173589593,0.0,-98.43,,,1.0,-3.28
